power,hour
22022.165118154728,0
31332.099396060185,1
15689.259886042557,2
17800.38427255842,3
15159.639981181992,4
12233.744805398564,5
10443.042221653835,6
6633.049948335214,7
9225.290963871605,8
7791.021059533986,9
7782.933919852098,10
18194.17953363868,11
23234.89402277671,12
20145.053441256496,13
18283.74973471533,14
9364.85000621094,15
2409.704409212998,16
2373.694731690809,17
3738.8904208898803,18
2968.7152189332396,19
1900.6538707238726,20
3784.0767193582815,21
2525.3265361620342,22
809.3638911133448,23
